Date,Tbill,Russell,S&P 500,Bonds,MSCI EAFE
2/1/02,0.001484,-0.011054,-0.015574,-0.022782,-0.057837
1/2/02,0.001390,-0.028441,-0.020766,0.010098,0.012011
1/3/02,0.001285,0.079044,0.036739,0.006827,0.055824
1/4/02,0.001341,0.008313,-0.061418,-0.050435,0.015237
1/5/02,0.001546,-0.045431,-0.009081,0.036252,0.005331
3/6/02,0.001442,-0.050936,-0.072455,0.002146,-0.032876
1/7/02,0.001312,-0.151781,-0.079004,0.018716,-0.095318
1/8/02,0.001507,-0.003721,0.004881,0.035049,-0.009790
3/9/02,0.001402,-0.073383,-0.110024,0.060110,-0.103578
1/10/02,0.001414,0.030999,0.086449,0.042904,0.038340
1/11/02,0.001334,0.087952,0.057070,-0.041985,0.056146
2/12/02,0.001166,-0.057241,-0.060333,-0.003344,-0.033484
2/1/03,0.001079,-0.028505,-0.027415,0.042637,-0.043026
3/2/03,0.000934,-0.031303,-0.017004,-0.004782,-0.021108
3/3/03,0.000871,0.011151,0.008358,0.029008,-0.023181
1/4/03,0.001020,0.093652,0.081044,-0.017930,0.101656
1/5/03,0.000939,0.106150,0.050899,0.011381,0.064523
2/6/03,0.000903,0.016712,0.011322,0.064188,0.019388
1/7/03,0.000984,0.061668,0.016224,-0.023214,0.015142
1/8/03,0.000674,0.044956,0.017873,-0.104917,0.032924
2/9/03,0.000689,-0.019581,-0.011944,0.023022,0.030202
1/10/03,0.000865,0.083128,0.054961,0.055228,0.064957
3/11/03,0.000700,0.034626,0.007129,-0.031384,0.025281
1/12/03,0.000725,0.019030,0.050766,0.004057,0.087376
2/1/04,0.000831,0.042826,0.017276,0.013211,0.011259
2/2/04,0.000696,0.008265,0.012209,0.019525,0.022990
1/3/04,0.000623,0.008112,-0.016359,0.021635,0.000707
1/4/04,0.000844,-0.051685,-0.016791,0.014178,-0.033898
3/5/04,0.000795,0.015148,0.012083,-0.067295,0.011404
1/6/04,0.000603,0.040895,0.017989,-0.003441,0.033536
1/7/04,0.000817,-0.068011,-0.034291,0.011977,-0.042657
2/8/04,0.000919,-0.006095,0.002287,0.016703,0.011907
1/9/04,0.001116,0.045645,0.009364,0.043186,0.020717
1/10/04,0.001185,0.018937,0.014014,0.009077,0.035007
1/11/04,0.001129,0.085613,0.038595,0.018720,0.060813
1/12/04,0.001541,0.028086,0.032458,-0.025773,0.048067
3/1/05,0.001672,-0.042282,-0.025290,0.029946,-0.019033
1/2/05,0.001661,0.016089,0.018903,0.038437,0.037850
1/3/05,0.001641,-0.029950,-0.019118,-0.015657,-0.026233
1/4/05,0.002123,-0.058026,-0.020109,-0.000930,-0.016177
2/5/05,0.002072,0.064431,0.029952,0.039067,-0.008637
1/6/05,0.002395,0.037214,-0.000143,0.032511,0.014327
1/7/05,0.002263,0.062674,0.035968,0.022747,0.029968
1/8/05,0.002383,-0.019478,-0.011222,-0.036368,0.038362
1/9/05,0.002920,0.001935,0.006949,0.035543,0.036944
3/10/05,0.002848,-0.031731,-0.017741,-0.041069,-0.031842
1/11/05,0.002728,0.047447,0.035186,-0.022459,0.023111
1/12/05,0.003045,-0.006009,-0.000952,0.012485,0.051826
3/1/06,0.003160,0.089094,0.025467,0.026477,0.057715
1/2/06,0.003488,-0.003492,0.000453,-0.015976,-0.007000
1/3/06,0.003322,0.047219,0.011096,0.012809,0.040051
3/4/06,0.003642,-0.000784,0.012156,-0.055518,0.047905
1/5/06,0.003559,-0.056936,-0.030917,-0.038002,-0.038218
1/6/06,0.004195,0.005076,0.000087,-0.005631,-0.000611
3/7/06,0.003970,-0.033270,0.005086,0.010872,0.008105
